number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_0,params_hidden_1,params_hidden_2,params_lr,params_n_layers,params_weight_decay,state
0,2.0947465896606445,2025-12-05 10:38:36.670692,2025-12-05 10:40:41.592226,0 days 00:02:04.921534,1024,0.3109040019106423,180,505.0,,0.0007396384757037711,2,2.1202689575410238e-08,COMPLETE
1,2.335387706756592,2025-12-05 10:40:41.593359,2025-12-05 10:41:16.565634,0 days 00:00:34.972275,512,0.06789437236301987,1007,,,0.0001584645008488399,1,5.38767913839487e-06,COMPLETE
2,2.0752763748168945,2025-12-05 10:41:16.566511,2025-12-05 10:42:38.436955,0 days 00:01:21.870444,256,0.20434818895894474,471,168.0,,0.0017115153113880783,2,3.74982143990171e-05,COMPLETE
3,2.1173791885375977,2025-12-05 10:42:38.437869,2025-12-05 10:44:08.277816,0 days 00:01:29.839947,256,0.0919346695677291,179,658.0,,0.0017918933493732746,2,8.702003712636297e-07,COMPLETE
4,2.223099946975708,2025-12-05 10:44:08.278680,2025-12-05 10:44:42.382622,0 days 00:00:34.103942,1024,0.3371576840952419,393,,,0.00029012936522650873,1,4.508815631908273e-05,COMPLETE
5,2.179607629776001,2025-12-05 10:44:42.383473,2025-12-05 10:45:19.401522,0 days 00:00:37.018049,512,0.3418360458106784,869,157.0,,0.00013715726633266266,2,5.352898391577586e-06,COMPLETE
6,2.200056791305542,2025-12-05 10:45:19.402429,2025-12-05 10:45:54.691941,0 days 00:00:35.289512,1024,0.12607579264998883,241,339.0,,0.00019315860501773271,2,8.124662215064054e-06,COMPLETE
7,2.0849804878234863,2025-12-05 10:45:54.692836,2025-12-05 10:47:08.201198,0 days 00:01:13.508362,512,0.2927001829293094,835,984.0,,0.0006055096086513014,2,0.0005778875759961736,COMPLETE
8,2.1652398109436035,2025-12-05 10:47:08.202027,2025-12-05 10:47:54.030216,0 days 00:00:45.828189,1024,0.34330961659672077,136,,,0.000168656654022144,1,6.889442773223254e-07,COMPLETE
9,2.0839431285858154,2025-12-05 10:47:54.031112,2025-12-05 10:50:30.845361,0 days 00:02:36.814249,256,0.3807306244426309,170,216.0,420.0,0.00010632415908988346,3,3.096134153586362e-08,COMPLETE
10,2.0835862159729004,2025-12-05 10:50:30.846264,2025-12-05 10:51:49.378176,0 days 00:01:18.531912,256,0.19601334778734594,543,135.0,129.0,0.004481505242986603,3,0.0005659639715113914,COMPLETE
11,2.0930063724517822,2025-12-05 10:51:49.379013,2025-12-05 10:52:52.553550,0 days 00:01:03.174537,256,0.20245303713647642,503,130.0,133.0,0.00487684923635904,3,0.0008698595101168145,COMPLETE
12,2.11462664604187,2025-12-05 10:52:52.554424,2025-12-05 10:54:04.136335,0 days 00:01:11.581911,256,0.21100116523464973,554,243.0,164.0,0.004654571763954229,3,0.00013585085467393205,COMPLETE
13,2.0036232471466064,2025-12-05 10:54:04.137221,2025-12-05 10:55:29.591519,0 days 00:01:25.454298,256,0.15325159948556177,306,187.0,965.0,0.0021170483094333915,3,6.617064888435484e-05,COMPLETE
14,2.0565826892852783,2025-12-05 10:55:29.592380,2025-12-05 10:57:12.124774,0 days 00:01:42.532394,256,0.0017438478373270616,295,222.0,989.0,0.0019070284518882658,3,4.0217984622906894e-05,COMPLETE
15,2.015540361404419,2025-12-05 10:57:12.125693,2025-12-05 10:58:47.847106,0 days 00:01:35.721413,256,0.01521187475566596,281,259.0,1000.0,0.002033935755890519,3,6.195453587365687e-05,COMPLETE
16,2.0885698795318604,2025-12-05 10:58:47.847987,2025-12-05 10:59:50.343685,0 days 00:01:02.495698,256,0.02622839010276079,259,324.0,1009.0,0.001136033085931958,3,0.00012995474979618155,COMPLETE
17,2.1042912006378174,2025-12-05 10:59:50.344571,2025-12-05 11:00:51.558861,0 days 00:01:01.214290,256,0.15009631416829686,339,275.0,581.0,0.002882182779718515,3,9.569189594997238e-07,COMPLETE
18,2.0303380489349365,2025-12-05 11:00:51.559796,2025-12-05 11:02:23.387641,0 days 00:01:31.827845,256,0.25316861278581865,222,453.0,651.0,0.0006792862536923353,3,1.423210554070481e-07,COMPLETE
19,2.13434100151062,2025-12-05 11:02:23.388509,2025-12-05 11:03:45.597701,0 days 00:01:22.209192,512,0.058995575038753495,379,187.0,263.0,0.002972695479339287,3,1.651476047151121e-05,COMPLETE
20,2.007373571395874,2025-12-05 11:03:45.598614,2025-12-05 11:06:18.144878,0 days 00:02:32.546264,256,0.14175313500048062,314,283.0,685.0,0.001207298460840506,3,0.00023964104475282608,COMPLETE
21,2.056771993637085,2025-12-05 11:06:18.145771,2025-12-05 11:08:00.843516,0 days 00:01:42.697745,256,0.13705142806398393,299,293.0,732.0,0.0011751242344984628,3,0.00018358403384794483,COMPLETE
22,2.1043989658355713,2025-12-05 11:08:00.844480,2025-12-05 11:09:21.128405,0 days 00:01:20.283925,256,0.09976757409876133,220,423.0,818.0,0.001234684943444699,3,0.00021645275444888494,COMPLETE
23,2.0571448802948,2025-12-05 11:09:21.129237,2025-12-05 11:11:02.928107,0 days 00:01:41.798870,256,0.17058506077807983,424,189.0,507.0,0.0026365291121967825,3,2.483816586102539e-05,COMPLETE
24,2.0518717765808105,2025-12-05 11:11:02.929069,2025-12-05 11:13:18.771004,0 days 00:02:15.841935,256,0.2568170193091338,314,263.0,815.0,0.00042834770617551784,3,8.180919345681952e-05,COMPLETE
